python .\model_inspction.py
--- ANALIZA STRUKTURY MODELU: crnn_weights_massive.pth ---
Warstwa: layer3.1.bn1.running_var       | Rozmiar wag: [256]
Warstwa: layer3.1.bn1.num_batches_tracked | Rozmiar wag: []
Warstwa: layer3.1.conv2.weight          | Rozmiar wag: [256, 256, 3, 3]
Warstwa: layer3.1.bn2.weight            | Rozmiar wag: [256]
Warstwa: layer3.1.bn2.bias              | Rozmiar wag: [256]
Warstwa: layer3.1.bn2.running_mean      | Rozmiar wag: [256]
Warstwa: layer3.1.bn2.running_var       | Rozmiar wag: [256]
Warstwa: layer3.1.bn2.num_batches_tracked | Rozmiar wag: []
Warstwa: rnn.weight_ih_l0               | Rozmiar wag: [1024, 256]
Warstwa: rnn.weight_hh_l0               | Rozmiar wag: [1024, 256]
Warstwa: rnn.bias_ih_l0                 | Rozmiar wag: [1024]
Warstwa: rnn.bias_hh_l0                 | Rozmiar wag: [1024]
Warstwa: rnn.weight_ih_l0_reverse       | Rozmiar wag: [1024, 256]
Warstwa: rnn.weight_hh_l0_reverse       | Rozmiar wag: [1024, 256]
Warstwa: rnn.bias_ih_l0_reverse         | Rozmiar wag: [1024]
Warstwa: rnn.bias_hh_l0_reverse         | Rozmiar wag: [1024]
Warstwa: rnn.weight_ih_l1               | Rozmiar wag: [1024, 512]
Warstwa: rnn.weight_hh_l1               | Rozmiar wag: [1024, 256]
Warstwa: rnn.bias_ih_l1                 | Rozmiar wag: [1024]
Warstwa: rnn.bias_hh_l1                 | Rozmiar wag: [1024]
Warstwa: rnn.weight_ih_l1_reverse       | Rozmiar wag: [1024, 512]
Warstwa: rnn.weight_hh_l1_reverse       | Rozmiar wag: [1024, 256]
Warstwa: rnn.bias_ih_l1_reverse         | Rozmiar wag: [1024]
Warstwa: rnn.bias_hh_l1_reverse         | Rozmiar wag: [1024]
Warstwa: fc.weight                      | Rozmiar wag: [90, 512]
Warstwa: fc.bias                        | Rozmiar wag: [90]


